Observation ,Animal   ,Environment ,HasShell ,BearsYoungAs ,Class   ,WarmBlooded ,BodyCovering ,Probability
         83 ,Monkey   ,Land        ,True     ,Live         ,Mammal  ,False       ,Feathers     ,        0.0
         84 ,Monkey   ,Land        ,True     ,Live         ,Mammal  ,False       ,Scales       ,        0.0
         85 ,Monkey   ,Land        ,True     ,Live         ,Reptile ,True        ,Fur          ,        0.0
         86 ,Monkey   ,Land        ,True     ,Live         ,Reptile ,True        ,Feathers     ,        0.0
         87 ,Monkey   ,Land        ,True     ,Live         ,Reptile ,True        ,Scales       ,        0.0
         88 ,Monkey   ,Land        ,True     ,Live         ,Reptile ,False       ,Fur          ,        0.0
         89 ,Monkey   ,Land        ,True     ,Live         ,Reptile ,False       ,Feathers     ,        0.0
         90 ,Monkey   ,Land        ,True     ,Live         ,Reptile ,False       ,Scales       ,        0.0
         91 ,Monkey   ,Land        ,True     ,Eggs         ,Bird    ,True        ,Fur          ,        0.0
         92 ,Monkey   ,Land        ,True     ,Eggs         ,Bird    ,True        ,Feathers     ,        0.0
         93 ,Monkey   ,Land        ,True     ,Eggs         ,Bird    ,True        ,Scales       ,        0.0
         94 ,Monkey   ,Land        ,True     ,Eggs         ,Bird    ,False       ,Fur          ,        0.0
         95 ,Monkey   ,Land        ,True     ,Eggs         ,Bird    ,False       ,Feathers     ,        0.0
         96 ,Monkey   ,Land        ,True     ,Eggs         ,Bird    ,False       ,Scales       ,        0.0
         97 ,Monkey   ,Land        ,True     ,Eggs         ,Mammal  ,True        ,Fur          ,        0.0
         98 ,Monkey   ,Land        ,True     ,Eggs         ,Mammal  ,True        ,Feathers     ,        0.0
         99 ,Monkey   ,Land        ,True     ,Eggs         ,Mammal  ,True        ,Scales       ,        0.0
        100 ,Monkey   ,Land        ,True     ,Eggs         ,Mammal  ,False       ,Fur          ,        0.0
        101 ,Monkey   ,Land        ,True     ,Eggs         ,Mammal  ,False       ,Feathers     ,        0.0
        102 ,Monkey   ,Land        ,True     ,Eggs         ,Mammal  ,False       ,Scales       ,        0.0
        103 ,Monkey   ,Land        ,True     ,Eggs         ,Reptile ,True        ,Fur          ,        0.0
        104 ,Monkey   ,Land        ,True     ,Eggs         ,Reptile ,True        ,Feathers     ,        0.0
        105 ,Monkey   ,Land        ,True     ,Eggs         ,Reptile ,True        ,Scales       ,        0.0
        106 ,Monkey   ,Land        ,True     ,Eggs         ,Reptile ,False       ,Fur          ,        0.0
        107 ,Monkey   ,Land        ,True     ,Eggs         ,Reptile ,False       ,Feathers     ,        0.0
        108 ,Monkey   ,Land        ,True     ,Eggs         ,Reptile ,False       ,Scales       ,        0.0
        109 ,Monkey   ,Land        ,False    ,Live         ,Bird    ,True        ,Fur          ,        0.0
        110 ,Monkey   ,Land        ,False    ,Live         ,Bird    ,True        ,Feathers     ,        0.0
        111 ,Monkey   ,Land        ,False    ,Live         ,Bird    ,True        ,Scales       ,        0.0
        112 ,Monkey   ,Land        ,False    ,Live         ,Bird    ,False       ,Fur          ,        0.0
        113 ,Monkey   ,Land        ,False    ,Live         ,Bird    ,False       ,Feathers     ,        0.0
        114 ,Monkey   ,Land        ,False    ,Live         ,Bird    ,False       ,Scales       ,        0.0
        115 ,Monkey   ,Land        ,False    ,Live         ,Mammal  ,True        ,Fur          ,        0.2
        116 ,Monkey   ,Land        ,False    ,Live         ,Mammal  ,True        ,Feathers     ,        0.0
        117 ,Monkey   ,Land        ,False    ,Live         ,Mammal  ,True        ,Scales       ,        0.0
        118 ,Monkey   ,Land        ,False    ,Live         ,Mammal  ,False       ,Fur          ,        0.0
        119 ,Monkey   ,Land        ,False    ,Live         ,Mammal  ,False       ,Feathers     ,        0.0
        120 ,Monkey   ,Land        ,False    ,Live         ,Mammal  ,False       ,Scales       ,        0.0
        121 ,Monkey   ,Land        ,False    ,Live         ,Reptile ,True        ,Fur          ,        0.0
        122 ,Monkey   ,Land        ,False    ,Live         ,Reptile ,True        ,Feathers     ,        0.0
        123 ,Monkey   ,Land        ,False    ,Live         ,Reptile ,True        ,Scales       ,        0.0
        124 ,Monkey   ,Land        ,False    ,Live         ,Reptile ,False       ,Fur          ,        0.0
        125 ,Monkey   ,Land        ,False    ,Live         ,Reptile ,False       ,Feathers     ,        0.0
        126 ,Monkey   ,Land        ,False    ,Live         ,Reptile ,False       ,Scales       ,        0.0
        127 ,Monkey   ,Land        ,False    ,Eggs         ,Bird    ,True        ,Fur          ,        0.0
        128 ,Monkey   ,Land        ,False    ,Eggs         ,Bird    ,True        ,Feathers     ,        0.0
        129 ,Monkey   ,Land        ,False    ,Eggs         ,Bird    ,True        ,Scales       ,        0.0
        130 ,Monkey   ,Land        ,False    ,Eggs         ,Bird    ,False       ,Fur          ,        0.0
        131 ,Monkey   ,Land        ,False    ,Eggs         ,Bird    ,False       ,Feathers     ,        0.0
        132 ,Monkey   ,Land        ,False    ,Eggs         ,Bird    ,False       ,Scales       ,        0.0
        133 ,Monkey   ,Land        ,False    ,Eggs         ,Mammal  ,True        ,Fur          ,        0.0
        134 ,Monkey   ,Land        ,False    ,Eggs         ,Mammal  ,True        ,Feathers     ,        0.0
        135 ,Monkey   ,Land        ,False    ,Eggs         ,Mammal  ,True        ,Scales       ,        0.0
        136 ,Monkey   ,Land        ,False    ,Eggs         ,Mammal  ,False       ,Fur          ,        0.0
        137 ,Monkey   ,Land        ,False    ,Eggs         ,Mammal  ,False       ,Feathers     ,        0.0
        138 ,Monkey   ,Land        ,False    ,Eggs         ,Mammal  ,False       ,Scales       ,        0.0
        139 ,Monkey   ,Land        ,False    ,Eggs         ,Reptile ,True        ,Fur          ,        0.0
        140 ,Monkey   ,Land        ,False    ,Eggs         ,Reptile ,True        ,Feathers     ,        0.0
        141 ,Monkey   ,Land        ,False    ,Eggs         ,Reptile ,True        ,Scales       ,        0.0
        142 ,Monkey   ,Land        ,False    ,Eggs         ,Reptile ,False       ,Fur          ,        0.0
        143 ,Monkey   ,Land        ,False    ,Eggs         ,Reptile ,False       ,Feathers     ,        0.0
        144 ,Monkey   ,Land        ,False    ,Eggs         ,Reptile ,False       ,Scales       ,        0.0
        145 ,Monkey   ,Water       ,True     ,Live         ,Bird    ,True        ,Fur          ,        0.0
        146 ,Monkey   ,Water       ,True     ,Live         ,Bird    ,True        ,Feathers     ,        0.0
        147 ,Monkey   ,Water       ,True     ,Live         ,Bird    ,True        ,Scales       ,        0.0
        148 ,Monkey   ,Water       ,True     ,Live         ,Bird    ,False       ,Fur          ,        0.0
        149 ,Monkey   ,Water       ,True     ,Live         ,Bird    ,False       ,Feathers     ,        0.0
        150 ,Monkey   ,Water       ,True     ,Live         ,Bird    ,False       ,Scales       ,        0.0
        151 ,Monkey   ,Water       ,True     ,Live         ,Mammal  ,True        ,Fur          ,        0.0
        152 ,Monkey   ,Water       ,True     ,Live         ,Mammal  ,True        ,Feathers     ,        0.0
        153 ,Monkey   ,Water       ,True     ,Live         ,Mammal  ,True        ,Scales       ,        0.0
        154 ,Monkey   ,Water       ,True     ,Live         ,Mammal  ,False       ,Fur          ,        0.0
        155 ,Monkey   ,Water       ,True     ,Live         ,Mammal  ,False       ,Feathers     ,        0.0
        156 ,Monkey   ,Water       ,True     ,Live         ,Mammal  ,False       ,Scales       ,        0.0
        157 ,Monkey   ,Water       ,True     ,Live         ,Reptile ,True        ,Fur          ,        0.0
        158 ,Monkey   ,Water       ,True     ,Live         ,Reptile ,True        ,Feathers     ,        0.0
        159 ,Monkey   ,Water       ,True     ,Live         ,Reptile ,True        ,Scales       ,        0.0
        160 ,Monkey   ,Water       ,True     ,Live         ,Reptile ,False       ,Fur          ,        0.0
        161 ,Monkey   ,Water       ,True     ,Live         ,Reptile ,False       ,Feathers     ,        0.0
        162 ,Monkey   ,Water       ,True     ,Live         ,Reptile ,False       ,Scales       ,        0.0
        163 ,Monkey   ,Water       ,True     ,Eggs         ,Bird    ,True        ,Fur          ,        0.0
        164 ,Monkey   ,Water       ,True     ,Eggs         ,Bird    ,True        ,Feathers     ,        0.0
        165 ,Monkey   ,Water       ,True     ,Eggs         ,Bird    ,True        ,Scales       ,        0.0
        166 ,Monkey   ,Water       ,True     ,Eggs         ,Bird    ,False       ,Fur          ,        0.0
        167 ,Monkey   ,Water       ,True     ,Eggs         ,Bird    ,False       ,Feathers     ,        0.0
        168 ,Monkey   ,Water       ,True     ,Eggs         ,Bird    ,False       ,Scales       ,        0.0
        169 ,Monkey   ,Water       ,True     ,Eggs         ,Mammal  ,True        ,Fur          ,        0.0
        170 ,Monkey   ,Water       ,True     ,Eggs         ,Mammal  ,True        ,Feathers     ,        0.0
        171 ,Monkey   ,Water       ,True     ,Eggs         ,Mammal  ,True        ,Scales       ,        0.0
        172 ,Monkey   ,Water       ,True     ,Eggs         ,Mammal  ,False       ,Fur          ,        0.0
        173 ,Monkey   ,Water       ,True     ,Eggs         ,Mammal  ,False       ,Feathers     ,        0.0
        174 ,Monkey   ,Water       ,True     ,Eggs         ,Mammal  ,False       ,Scales       ,        0.0
        175 ,Monkey   ,Water       ,True     ,Eggs         ,Reptile ,True        ,Fur          ,        0.0
        176 ,Monkey   ,Water       ,True     ,Eggs         ,Reptile ,True        ,Feathers     ,        0.0
        177 ,Monkey   ,Water       ,True     ,Eggs         ,Reptile ,True        ,Scales       ,        0.0
        178 ,Monkey   ,Water       ,True     ,Eggs         ,Reptile ,False       ,Fur          ,        0.0
        179 ,Monkey   ,Water       ,True     ,Eggs         ,Reptile ,False       ,Feathers     ,        0.0
        180 ,Monkey   ,Water       ,True     ,Eggs         ,Reptile ,False       ,Scales       ,        0.0
        181 ,Monkey   ,Water       ,False    ,Live         ,Bird    ,True        ,Fur          ,        0.0
        182 ,Monkey   ,Water       ,False    ,Live         ,Bird    ,True        ,Feathers     ,        0.0
        183 ,Monkey   ,Water       ,False    ,Live         ,Bird    ,True        ,Scales       ,        0.0
        184 ,Monkey   ,Water       ,False    ,Live         ,Bird    ,False       ,Fur          ,        0.0
        185 ,Monkey   ,Water       ,False    ,Live         ,Bird    ,False       ,Feathers     ,        0.0
        186 ,Monkey   ,Water       ,False    ,Live         ,Bird    ,False       ,Scales       ,        0.0
        187 ,Monkey   ,Water       ,False    ,Live         ,Mammal  ,True        ,Fur          ,        0.0
        188 ,Monkey   ,Water       ,False    ,Live         ,Mammal  ,True        ,Feathers     ,        0.0
        189 ,Monkey   ,Water       ,False    ,Live         ,Mammal  ,True        ,Scales       ,        0.0
        190 ,Monkey   ,Water       ,False    ,Live         ,Mammal  ,False       ,Fur          ,        0.0
        191 ,Monkey   ,Water       ,False    ,Live         ,Mammal  ,False       ,Feathers     ,        0.0
        192 ,Monkey   ,Water       ,False    ,Live         ,Mammal  ,False       ,Scales       ,        0.0
        193 ,Monkey   ,Water       ,False    ,Live         ,Reptile ,True        ,Fur          ,        0.0
        194 ,Monkey   ,Water       ,False    ,Live         ,Reptile ,True        ,Feathers     ,        0.0
        195 ,Monkey   ,Water       ,False    ,Live         ,Reptile ,True        ,Scales       ,        0.0
        196 ,Monkey   ,Water       ,False    ,Live         ,Reptile ,False       ,Fur          ,        0.0
        197 ,Monkey   ,Water       ,False    ,Live         ,Reptile ,False       ,Feathers     ,        0.0
        198 ,Monkey   ,Water       ,False    ,Live         ,Reptile ,False       ,Scales       ,        0.0
        199 ,Monkey   ,Water       ,False    ,Eggs         ,Bird    ,True        ,Fur          ,        0.0
        200 ,Monkey   ,Water       ,False    ,Eggs         ,Bird    ,True        ,Feathers     ,        0.0
        201 ,Monkey   ,Water       ,False    ,Eggs         ,Bird    ,True        ,Scales       ,        0.0
        202 ,Monkey   ,Water       ,False    ,Eggs         ,Bird    ,False       ,Fur          ,        0.0
        203 ,Monkey   ,Water       ,False    ,Eggs         ,Bird    ,False       ,Feathers     ,        0.0
        204 ,Monkey   ,Water       ,False    ,Eggs         ,Bird    ,False       ,Scales       ,        0.0
        205 ,Monkey   ,Water       ,False    ,Eggs         ,Mammal  ,True        ,Fur          ,        0.0
        206 ,Monkey   ,Water       ,False    ,Eggs         ,Mammal  ,True        ,Feathers     ,        0.0
        207 ,Monkey   ,Water       ,False    ,Eggs         ,Mammal  ,True        ,Scales       ,        0.0
        208 ,Monkey   ,Water       ,False    ,Eggs         ,Mammal  ,False       ,Fur          ,        0.0
        209 ,Monkey   ,Water       ,False    ,Eggs         ,Mammal  ,False       ,Feathers     ,        0.0
        210 ,Monkey   ,Water       ,False    ,Eggs         ,Mammal  ,False       ,Scales       ,        0.0
        211 ,Monkey   ,Water       ,False    ,Eggs         ,Reptile ,True        ,Fur          ,        0.0
        212 ,Monkey   ,Water       ,False    ,Eggs         ,Reptile ,True        ,Feathers     ,        0.0
        213 ,Monkey   ,Water       ,False    ,Eggs         ,Reptile ,True        ,Scales       ,        0.0
        214 ,Monkey   ,Water       ,False    ,Eggs         ,Reptile ,False       ,Fur          ,        0.0
        215 ,Monkey   ,Water       ,False    ,Eggs         ,Reptile ,False       ,Feathers     ,        0.0
        216 ,Monkey   ,Water       ,False    ,Eggs         ,Reptile ,False       ,Scales       ,        0.0
        217 ,Penguin  ,Air         ,True     ,Live         ,Bird    ,True        ,Fur          ,        0.0
        218 ,Penguin  ,Air         ,True     ,Live         ,Bird    ,True        ,Feathers     ,        0.0
        219 ,Penguin  ,Air         ,True     ,Live         ,Bird    ,True        ,Scales       ,        0.0
        220 ,Penguin  ,Air         ,True     ,Live         ,Bird    ,False       ,Fur          ,        0.0
        221 ,Penguin  ,Air         ,True     ,Live         ,Bird    ,False       ,Feathers     ,        0.0
        222 ,Penguin  ,Air         ,True     ,Live         ,Bird    ,False       ,Scales       ,        0.0
        223 ,Penguin  ,Air         ,True     ,Live         ,Mammal  ,True        ,Fur          ,        0.0
        224 ,Penguin  ,Air         ,True     ,Live         ,Mammal  ,True        ,Feathers     ,        0.0
        225 ,Penguin  ,Air         ,True     ,Live         ,Mammal  ,True        ,Scales       ,        0.0
        226 ,Penguin  ,Air         ,True     ,Live         ,Mammal  ,False       ,Fur          ,        0.0
        227 ,Penguin  ,Air         ,True     ,Live         ,Mammal  ,False       ,Feathers     ,        0.0
        228 ,Penguin  ,Air         ,True     ,Live         ,Mammal  ,False       ,Scales       ,        0.0
        229 ,Penguin  ,Air         ,True     ,Live         ,Reptile ,True        ,Fur          ,        0.0
        230 ,Penguin  ,Air         ,True     ,Live         ,Reptile ,True        ,Feathers     ,        0.0
        231 ,Penguin  ,Air         ,True     ,Live         ,Reptile ,True        ,Scales       ,        0.0
        232 ,Penguin  ,Air         ,True     ,Live         ,Reptile ,False       ,Fur          ,        0.0
        233 ,Penguin  ,Air         ,True     ,Live         ,Reptile ,False       ,Feathers     ,        0.0
        234 ,Penguin  ,Air         ,True     ,Live         ,Reptile ,False       ,Scales       ,        0.0
        235 ,Penguin  ,Air         ,True     ,Eggs         ,Bird    ,True        ,Fur          ,        0.0
        236 ,Penguin  ,Air         ,True     ,Eggs         ,Bird    ,True        ,Feathers     ,        0.0
        237 ,Penguin  ,Air         ,True     ,Eggs         ,Bird    ,True        ,Scales       ,        0.0
        238 ,Penguin  ,Air         ,True     ,Eggs         ,Bird    ,False       ,Fur          ,        0.0
        239 ,Penguin  ,Air         ,True     ,Eggs         ,Bird    ,False       ,Feathers     ,        0.0
        240 ,Penguin  ,Air         ,True     ,Eggs         ,Bird    ,False       ,Scales       ,        0.0
        241 ,Penguin  ,Air         ,True     ,Eggs         ,Mammal  ,True        ,Fur          ,        0.0
        242 ,Penguin  ,Air         ,True     ,Eggs         ,Mammal  ,True        ,Feathers     ,        0.0
        243 ,Penguin  ,Air         ,True     ,Eggs         ,Mammal  ,True        ,Scales       ,        0.0
        244 ,Penguin  ,Air         ,True     ,Eggs         ,Mammal  ,False       ,Fur          ,        0.0
        245 ,Penguin  ,Air         ,True     ,Eggs         ,Mammal  ,False       ,Feathers     ,        0.0
        246 ,Penguin  ,Air         ,True     ,Eggs         ,Mammal  ,False       ,Scales       ,        0.0
        247 ,Penguin  ,Air         ,True     ,Eggs         ,Reptile ,True        ,Fur          ,        0.0
        248 ,Penguin  ,Air         ,True     ,Eggs         ,Reptile ,True        ,Feathers     ,        0.0
        249 ,Penguin  ,Air         ,True     ,Eggs         ,Reptile ,True        ,Scales       ,        0.0
        250 ,Penguin  ,Air         ,True     ,Eggs         ,Reptile ,False       ,Fur          ,        0.0
        251 ,Penguin  ,Air         ,True     ,Eggs         ,Reptile ,False       ,Feathers     ,        0.0
        252 ,Penguin  ,Air         ,True     ,Eggs         ,Reptile ,False       ,Scales       ,        0.0
        253 ,Penguin  ,Air         ,False    ,Live         ,Bird    ,True        ,Fur          ,        0.0
        254 ,Penguin  ,Air         ,False    ,Live         ,Bird    ,True        ,Feathers     ,        0.0
        255 ,Penguin  ,Air         ,False    ,Live         ,Bird    ,True        ,Scales       ,        0.0
        256 ,Penguin  ,Air         ,False    ,Live         ,Bird    ,False       ,Fur          ,        0.0
        257 ,Penguin  ,Air         ,False    ,Live         ,Bird    ,False       ,Feathers     ,        0.0
        258 ,Penguin  ,Air         ,False    ,Live         ,Bird    ,False       ,Scales       ,        0.0
        259 ,Penguin  ,Air         ,False    ,Live         ,Mammal  ,True        ,Fur          ,        0.0
        260 ,Penguin  ,Air         ,False    ,Live         ,Mammal  ,True        ,Feathers     ,        0.0
        261 ,Penguin  ,Air         ,False    ,Live         ,Mammal  ,True        ,Scales       ,        0.0
        262 ,Penguin  ,Air         ,False    ,Live         ,Mammal  ,False       ,Fur          ,        0.0
        263 ,Penguin  ,Air         ,False    ,Live         ,Mammal  ,False       ,Feathers     ,        0.0
        264 ,Penguin  ,Air         ,False    ,Live         ,Mammal  ,False       ,Scales       ,        0.0
        265 ,Penguin  ,Air         ,False    ,Live         ,Reptile ,True        ,Fur          ,        0.0
        266 ,Penguin  ,Air         ,False    ,Live         ,Reptile ,True        ,Feathers     ,        0.0
        267 ,Penguin  ,Air         ,False    ,Live         ,Reptile ,True        ,Scales       ,        0.0
        268 ,Penguin  ,Air         ,False    ,Live         ,Reptile ,False       ,Fur          ,        0.0
        269 ,Penguin  ,Air         ,False    ,Live         ,Reptile ,False       ,Feathers     ,        0.0
        270 ,Penguin  ,Air         ,False    ,Live         ,Reptile ,False       ,Scales       ,        0.0
        271 ,Penguin  ,Air         ,False    ,Eggs         ,Bird    ,True        ,Fur          ,        0.0
        272 ,Penguin  ,Air         ,False    ,Eggs         ,Bird    ,True        ,Feathers     ,        0.0
        273 ,Penguin  ,Air         ,False    ,Eggs         ,Bird    ,True        ,Scales       ,        0.0
        274 ,Penguin  ,Air         ,False    ,Eggs         ,Bird    ,False       ,Fur          ,        0.0
        275 ,Penguin  ,Air         ,False    ,Eggs         ,Bird    ,False       ,Feathers     ,        0.0
        276 ,Penguin  ,Air         ,False    ,Eggs         ,Bird    ,False       ,Scales       ,        0.0
        277 ,Penguin  ,Air         ,False    ,Eggs         ,Mammal  ,True        ,Fur          ,        0.0
        278 ,Penguin  ,Air         ,False    ,Eggs         ,Mammal  ,True        ,Feathers     ,        0.0
        279 ,Penguin  ,Air         ,False    ,Eggs         ,Mammal  ,True        ,Scales       ,        0.0
        280 ,Penguin  ,Air         ,False    ,Eggs         ,Mammal  ,False       ,Fur          ,        0.0
        281 ,Penguin  ,Air         ,False    ,Eggs         ,Mammal  ,False       ,Feathers     ,        0.0
        282 ,Penguin  ,Air         ,False    ,Eggs         ,Mammal  ,False       ,Scales       ,        0.0
        283 ,Penguin  ,Air         ,False    ,Eggs         ,Reptile ,True        ,Fur          ,        0.0
        284 ,Penguin  ,Air         ,False    ,Eggs         ,Reptile ,True        ,Feathers     ,        0.0
        285 ,Penguin  ,Air         ,False    ,Eggs         ,Reptile ,True        ,Scales       ,        0.0
